"mes","pedidos","receita_total"
"2013-07","22","27861.9"
"2013-08","25","25485.28"
"2013-09","23","26381.4"
"2013-10","26","37515.73"
"2013-11","25","45600.05"
"2013-12","31","45239.63"
"2014-01","33","61258.08"
"2014-02","29","38483.64"
"2014-03","30","38547.22"
"2014-04","31","53032.95"
"2014-05","32","53781.29"
"2014-06","30","36362.81"
"2014-07","33","51020.87"
"2014-08","33","47287.68"
"2014-09","37","55629.26"
"2014-10","38","66749.24"
"2014-11","34","43533.8"
"2014-12","48","71398.43"
"2015-01","55","94222.13"
"2015-02","54","99415.29"
"2015-03","73","104854.17"
"2015-04","74","123798.69"
"2015-05","14","18333.61"
