"productname","categoryname","pedidos","unidades","receita_total"
"C�te de Blaye","Beverages","24","623","141396.74"
"Th�ringer Rostbratwurst","Meat & Poultry","32","746","80368.69"
"Raclette Courdavault","Dairy Products","54","1496","71155.7"
"Tarte au sucre","Confections","48","1083","47234.98"
"Camembert Pierrot","Dairy Products","51","1577","46825.48"
"Gnocchi di nonna Alice","Grains & Cereals","50","1263","42593.06"
"Manjimup Dried Apples","Produce","39","886","41819.65"
"Alice Mutton","Meat & Poultry","37","978","32698.38"
"Carnarvon Tigers","Seafood","27","539","29171.88"
"R�ssle Sauerkraut","Produce","33","640","25696.64"
"Mozzarella di Giovanni","Dairy Products","38","806","24900.13"
"Ipoh Coffee","Beverages","28","580","23526.7"
"Sir Rodney's Marmalade","Confections","16","313","22563.36"
"Uncle Bob's Organic Dried Pears","Produce","29","763","22044.3"
"Wimmers gute Semmelkn�del","Grains & Cereals","30","740","21957.97"
"Gudbrandsdalsost","Dairy Products","31","714","21942.36"
"Ikura","Seafood","33","742","20867.34"
"Perth Pasties","Meat & Poultry","30","722","20574.17"
"Gumb�r Gummib�rchen","Confections","32","753","19849.14"
"Flotemysost","Dairy Products","42","1057","19551.04"
"Boston Crab Meat","Seafood","41","1103","17910.63"
"P�t� chinois","Meat & Poultry","33","903","17426.4"
"Pavlova","Confections","43","1158","17215.77"
"Vegie-spread","Condiments","17","445","16701.1"
"Chang","Beverages","44","1057","16355.96"
"Lakkalik�ri","Beverages","39","981","15760.44"
"Schoggi Schokolade","Confections","9","365","15099.88"
"Gorgonzola Telino","Dairy Products","51","1397","14920.89"
"Sirop d'�rable","Condiments","24","603","14352.6"
"Louisiana Fiery Hot Pepper Sauce","Condiments","32","745","13869.89"
"Steeleye Stout","Beverages","36","883","13644"
"Inlagd Sill","Seafood","31","805","13458.46"
"Nord-Ost Matjeshering","Seafood","32","612","13424.2"
"Queso Cabrales","Dairy Products","38","706","12901.77"
"Chai","Beverages","38","828","12788.1"
"Northwoods Cranberry Sauce","Condiments","13","372","12772"
"Chartreuse verte","Beverages","30","793","12294.54"
"Queso Manchego La Pastora","Dairy Products","14","344","12257.66"
"Outback Lager","Beverages","39","817","10672.65"
"Gula Malacca","Condiments","24","601","9915.95"
"Maxilaku","Confections","21","520","9244.6"
"Original Frankfurter Gr�ne So�e","Condiments","38","791","9171.63"
"Sir Rodney's Scones","Confections","39","1016","9104"
"Scottish Longbreads","Confections","34","799","8714"
"Jack's New England Clam Chowder","Seafood","47","981","8680.35"
"Singaporean Hokkien Fried Mee","Grains & Cereals","30","697","8575"
"Chef Anton's Cajun Seasoning","Condiments","20","453","8567.9"
"Mascarpone Fabioli","Dairy Products","15","297","8404.16"
"Rh�nbr�u Klosterbier","Beverages","46","1155","8177.5"
"Tofu","Produce","22","404","7991.48"
"Ravioli Angelo","Grains & Cereals","23","434","7661.55"
"Mishi Kobe Niku","Meat & Poultry","5","95","7226.5"
"Grandma's Boysenberry Spread","Condiments","12","301","7137"
"Gustaf's Knackebr�d","Grains & Cereals","14","348","7122.36"
"Sasquatch Ale","Beverages","19","506","6350.4"
"Spegesild","Seafood","27","548","5883"
"Escargots de Bourgogne","Seafood","18","534","5881.68"
"Teatime Chocolate Biscuits","Confections","37","723","5862.62"
"Chef Anton's Gumbo Mix","Condiments","10","298","5347.21"
"Konbu","Seafood","40","891","4960.44"
"Tourti�re","Meat & Poultry","36","755","4728.24"
"Tunnbr�d","Grains & Cereals","20","580","4601.7"
"Guarana Fantastica","Beverages","51","1125","4504.37"
"Rogede sild","Seafood","14","508","4338.17"
"R�d Kaviar","Seafood","14","293","3997.2"
"Zaanse koeken","Confections","21","485","3958.08"
"NuNuCa�Nu�-Nougat-Creme","Confections","18","318","3704.4"
"Valkoinen suklaa","Confections","10","235","3437.69"
"Louisiana Hot Spiced Okra","Condiments","8","239","3383"
"Filo Mix","Grains & Cereals","29","500","3232.95"
"Aniseed Syrup","Condiments","12","328","3044"
"Gravad lax","Seafood","6","125","2688.4"
"Longlife Tofu","Produce","13","297","2432.5"
"Laughing Lumberjack Lager","Beverages","10","184","2396.8"
"Genen Shouyu","Condiments","6","122","1784.83"
"Geitost","Dairy Products","32","755","1648.13"
"Chocolade","Confections","6","138","1368.71"
