"country","pedidos","clientes","receita_total","ticket_medio"
"USA","122","13","245584.62","697.68"
"Germany","122","11","230284.66","702.09"
"Austria","40","2","128003.85","1024.03"
"Brazil","83","9","106925.79","526.73"
"France","77","10","81358.32","442.16"
"UK","56","7","58971.32","436.82"
"Venezuela","46","4","56810.64","481.45"
"Sweden","37","2","54495.16","561.81"
"Canada","30","3","50196.28","669.28"
"Ireland","19","1","49979.91","908.73"
"Belgium","19","2","33824.85","604.02"
"Denmark","18","2","32661.02","710.02"
"Switzerland","18","2","31692.67","609.47"
"Mexico","28","5","23582.08","327.53"
"Finland","22","2","18810.05","348.33"
"Spain","23","4","17983.2","333.02"
"Italy","28","3","15770.16","297.55"
"Portugal","13","2","11472.37","382.41"
"Argentina","16","3","8119.1","238.8"
"Norway","6","1","5735.15","358.45"
"Poland","7","1","3531.95","220.75"
