"companyname","country","pedidos","receita_total","ticket_medio"
"QUICK-Stop","Germany","28","110277.32","1282.29"
"Ernst Handel","Austria","30","104874.99","1028.19"
"Save-a-lot Markets","USA","31","104361.96","899.67"
"Rattlesnake Canyon Grocery","USA","18","51097.79","719.69"
"Hungry Owl All-Night Grocers","Ireland","19","49979.91","908.73"
"Hanari Carnes","Brazil","14","32841.37","1026.29"
"K�niglich Essen","Germany","14","30908.39","792.52"
"Folk och f� HB","Sweden","19","29567.57","657.06"
"M�re Paillarde","Canada","13","28872.19","902.26"
"White Clover Markets","USA","14","27363.6","684.09"
"Frankenversand","Germany","15","26656.57","555.35"
"Queen Cozinha","Brazil","13","25717.5","642.94"
"Berglunds snabbk�p","Sweden","18","24927.59","479.38"
"Supr�mes d�lices","Belgium","12","24088.78","617.66"
"Piccolo und mehr","Austria","10","23128.86","1005.6"
"HILARION-Abastos","Venezuela","18","22768.76","505.97"
"Bon app'","France","17","21963.25","499.16"
"Bottom-Dollar Markets","Canada","14","20801.59","594.33"
"Richter Supermarkt","Switzerland","10","19343.79","644.79"
"Lehmanns Marktstand","Germany","15","19261.41","493.88"
"Blondesddsl p�re et fils","France","11","18534.08","712.85"
"Great Lakes Food Market","USA","11","18507.46","841.25"
"Simons bistro","Denmark","7","16817.1","1121.14"
"LINO-Delicateses","Venezuela","12","16476.58","470.76"
"Seven Seas Imports","UK","9","16215.33","623.67"
"LILA-Supermercado","Venezuela","14","16076.6","472.84"
"Vaffeljernet","Denmark","11","15843.92","511.09"
"Wartian Herkku","Finland","15","15648.7","422.94"
"Old World Delicatessen","USA","10","15177.47","632.39"
"Eastern Connection","UK","8","14761.04","702.91"
"Around the Horn","UK","13","13390.65","446.35"
"Ottilies K�seladen","Germany","10","12496.19","430.9"
"Ricardo Adocicados","Brazil","11","12450.81","461.14"
"Chop-suey Chinese","Switzerland","8","12348.88","561.31"
"Folies gourmandes","France","5","11666.9","729.18"
"Godos Cocina T�pica","Spain","10","11446.36","440.24"
"Split Rail Beer & Ale","USA","9","11441.63","572.08"
"Tortuga Restaurante","Mexico","10","10812.15","372.83"
"Maison Dewey","Belgium","7","9736.07","572.71"
"Die Wandernde Kuh","Germany","10","9588.43","368.79"
"La maison d'Asie","France","14","9328.2","300.91"
"Victuailles en stock","France","10","9182.43","367.3"
"Gourmet Lanchonetes","Brazil","9","8414.14","442.85"
"Magazzini Alimentari Riuniti","Italy","10","7176.22","341.72"
"Reggiani Caseifici","Italy","12","7048.24","320.37"
"Antonio Moreno Taquer�a","Mexico","7","7023.98","413.18"
"Tradi��o Hipermercados","Brazil","6","6850.66","526.97"
"Que Del�cia","Brazil","9","6664.81","277.7"
"Furia Bacalhau e Frutos do Mar","Portugal","8","6427.43","321.37"
"Island Trading","UK","10","6146.3","267.23"
"B's Beverages","UK","10","6089.9","276.81"
"Wellington Importadora","Brazil","9","6068.2","319.38"
"Sant� Gourmet","Norway","6","5735.15","358.45"
"Princesa Isabel Vinhos","Portugal","5","5044.94","504.49"
"Morgenstern Gesundkost","Germany","5","5042.2","458.38"
"Toms Spezialit�ten","Germany","6","4778.14","341.3"
"Alfreds Futterkiste","Germany","6","4273","356.08"
"Lonesome Pine Restaurant","USA","8","4258.6","304.19"
"Pericles Comidas cl�sicas","Mexico","6","4242.2","303.01"
"B�lido Comidas preparadas","Spain","3","4232.85","705.47"
"Familia Arquibaldo","Brazil","7","4107.55","216.19"
"Com�rcio Mineiro","Brazil","5","3810.75","381.07"
"Drachenblut Delikatessen","Germany","6","3763.21","376.32"
"Wolski  Zajazd","Poland","7","3531.95","220.75"
"Oc�ano Atl�ntico Ltda.","Argentina","5","3460.2","314.56"
"The Big Cheese","USA","4","3361","480.14"
"Blauer See Delikatessen","Germany","7","3239.8","231.41"
"France restauration","France","3","3172.16","528.69"
"Wilman Kala","Finland","7","3161.35","185.96"
"Let's Stop N Shop","USA","4","3076.47","307.65"
"Hungry Coyote Import Store","USA","5","3063.2","340.36"
"Rancho grande","Argentina","5","2844.1","237.01"
"Sp�cialit�s du monde","France","4","2423.35","403.89"
"La corne d'abondance","France","4","1992.05","181.1"
"The Cracker Box","USA","3","1947.24","243.41"
"Cactus Comidas para llevar","Argentina","6","1814.8","164.98"
"Consolidated Holdings","UK","3","1719.1","245.59"
"Du monde entier","France","4","1615.9","179.54"
"Trail's Head Gourmet Provisioners","USA","3","1571.2","174.58"
"Franchi S.p.A.","Italy","6","1545.7","154.57"
"GROSELLA-Restaurante","Venezuela","2","1488.7","372.18"
"Vins et alcools Chevalier","France","5","1480","148"
"Romero y tomillo","Spain","5","1467.29","104.81"
"Ana Trujillo Emparedados y helados","Mexico","4","1402.95","140.3"
"Galer�a del gastr�nomo","Spain","5","836.7","104.59"
"North/South","UK","3","649","108.17"
"Laughing Bacchus Wine Cellars","Canada","3","522.5","65.31"
"Lazy K Kountry Store","USA","2","357","178.5"
"Centro comercial Moctezuma","Mexico","1","100.8","50.4"
