"country","pedidos","dias_ate_envio","dias_folga_prazo"
"Ireland","19","11","17.7"
"Sweden","37","10.2","17.8"
"Switzerland","18","9.9","17.2"
"USA","122","9.6","18.9"
"Argentina","16","9.3","16.7"
"Spain","23","9.2","18.2"
"Belgium","19","9.2","20.3"
"Portugal","13","8.7","19.3"
"Austria","40","8.7","20.1"
"Venezuela","46","8.5","20.5"
"France","77","8.4","19.2"
"UK","56","8.2","18.8"
"Brazil","83","8.1","19.5"
"Poland","7","8","16"
"Germany","122","8","19.5"
"Italy","28","7.9","20.1"
"Mexico","28","7.8","18.6"
"Denmark","18","7.4","18.9"
"Norway","6","7","18.7"
"Canada","30","5.9","22.6"
"Finland","22","5.6","23.7"
